Time (s),VRAM (MB)
0.0,4555
40.7,9802
81.4,10606
122.1,11256
162.8,12517
203.5,11060
244.3,11144
285.0,12240
325.8,11632
366.6,11217
407.3,12652
448.1,13516
488.8,14969
529.6,13666
570.5,12471
611.4,15875
654.4,7172
695.1,10058
736.0,12366
776.7,12443
817.5,7392
858.3,15359
899.1,10262
939.8,12049
980.6,8729
1021.4,10003
1062.2,10592
1102.9,9258
1143.7,10451
1184.5,12474
1225.2,13369
1265.9,10120
1306.6,13197
1347.4,13086
1388.1,10872
1429.0,12243
1469.7,11864
1510.5,11223
1551.3,12670
1592.0,12765
1632.8,12766
1673.6,12746
1714.5,12815
1755.3,12938
1795.9,12783
1836.6,12793
1877.4,12802
1918.0,12785
1958.9,12804
1999.6,12801
2040.3,12790
2081.0,12841
2121.8,12845
2162.4,12832
2203.2,12841
2244.0,12973
2284.8,13169
2325.6,13678
2366.3,13762
2407.1,13910
2447.8,14156
