elapsed_seconds,used_mb
0.2,2738
10.3,8522
20.5,10752
30.6,13066
40.8,12665
50.9,13195
61.1,12324
71.2,14599
81.4,13439
91.5,15209
101.7,13053
111.8,14360
122.0,14049
132.1,14740
142.3,13170
152.5,12557
162.6,12526
172.8,15592
183.0,14913
193.1,13601
203.3,14783
213.4,13535
223.6,15979
233.7,12263
243.9,12100
254.0,11429
264.2,15916
274.3,15731
284.5,15736
294.6,15732
304.8,12517
314.9,14301
325.1,15273
335.2,11886
345.4,14606
355.5,14569
365.7,15837
375.8,15834
386.0,15883
396.2,15888
406.3,15878
416.5,15892
426.9,15842
437.2,15837
447.4,15847
457.6,15855
467.7,15834
477.9,15849
488.0,15852
498.3,15838
508.4,15872
518.6,15887
528.8,15871
538.9,15882
549.2,15896
559.3,15901
569.5,15914
579.7,15908
589.9,15930
600.0,15945
610.3,15947
